n1,fren
khdra,lgumes
bsla,oignon
maticha,tomate
jelbana,pois
dnjal,aubergine
gara,citrouille
mkowwr,chou
btata,pomme de terre
khyar,concombre
khizo,carotte
touma,ail
chiflour,choufleur
o,artichauts
khrchouf,cardon
flfla,poivre
fjl,radis
loubia,haricots
bsbas,fenouil
khoss,laitue
lft,navet
kbal,mas
zbour,coriandre
mdnous,persil
zitoun,olives
barba,betterave
krafs,cleri
kourjit,courgette
dissir,fruits
tfa,pomme
bououid,poire
friz,fraise
avoka,avocat
nb,raisin
krmous,figue
limoun,orange
amd,citron
rman,grenade
dla,pastque
khoukh,pche
kiwi,kiwi
blmlouk,cerise
ananas,ananas
mnoun,melon
swila,melon
banan,banane
mchmach,abricot
mang,mangue
mandarine,mandarine
tmr,datte
bro,prunes
makla,nourriture
ds,lentilles
nbg,jujube
bllot,chne
llouz,amandes
nna,menthe
zbib,raisins secs
bid,ufs
bida,uf
zbda,beurre
khbz,pain
mska,chewinggum
skkar,sucre
mla,sel
zit,huile
mms,pois chiches
rira,soupe
chlada,salade
lm,viande
khmira,levure
jina,pte
frmaj,fromage
chria,ptes
disir,desserts
laglas,glace
kika,gteau
tria,pices
gm,bl
dgig,farine
chir,orge
rfa,cannelle
kmmon,cumin
ronfl,clous de girofle
zfran,safran
ztr,thym
chrab,boire
chchrab,alcool
birra,bire
atay,th
lib,lait
asir,jus
ftor,petitdjeuner
ghda,djeuner
cha,dner
maadir,ingrdients
jo,faim
tch,soif
rijim,rgime
chaia,apptit
mchwi,grill
mli,frit
mmmr,grill
mgrml,croquant
khdr,brut
bnin,dlicieux
nachf,sec
lo,doux
arr,pic
marr,amer
amd,aigre
mroug,brl
lkhell,vinaigre
btata frit,frites
sata,bonbons
mada,saveur
tajin,tajine
tanjia,tanjia
bstila,pastille
mnncha,mhanncha
fas,fekkas
kbghzal,kaab el ghazal
sellou,sellou
briwat,briouats
chbbakia,chebakia
ghriba,ghriba
richlat,qurishlat
rzzt ladi,rzat el qadi
wayj,vtements
khatm,bague
amija,chemise
srwal,pantalon
kaskita,casquette
sbbat,chaussure
tachr,chaussettes
chort,shorts
kbbot,manteau
grafata,cravate
trbouch,chapeau
tjakita,veste
saya,jupe
slip,slip
chal,foulard
djin,jeans
kswa,robe
kostim,costume
pijama,pyjamas
likouch,couches
ligat,gants
smta,ceinture
sdfa,bouton
jib,poche
twang,boucle
snsla,collier
gormit,bracelet
bstam,portefeuille
mdll,parapluie
tagia,calotte
touni,maillot de foot
jellaba,djellaba
blgha,balgha
drraia,draa
jabador,jabador
ftan,caftan
tkchita,takchita
slam,silham
jjam,coiffeur
lla,coiffeur
gzzar,boucher
tbib,mdecin
frmlia,infirmire
modir,directeur
fnnan,artiste
trisyan,lectricien
mondis,ingnieur
flla,paysan
saafi,journaliste
adi,juge
moami,avocat
mikanisyan,mcanicien
wakil,procureur
bolisi,flic
jadarmi,gendarme
rssam,peintre
moswwir,photographe
srbay,serveur
srbaya,serveuse
khyyat,tailleur
safir,ambassadeur
mostachar,conseiller
plombi,plombier
moawil,entrepreneur
mowddaf,employ
sikritira,secrtaire
khddar,marchand de lgumes
njjar,menuisier
rayfi,artisan
sbbagh,peintre
nat,sculpteur
mol ddjaj,volailler
mol lout,poissonnier
oustad,professeur
mol taxi,chauffeur de taxi
chifour,conducteur
kherraz,cordonnier
mol lmsbana,propritaire dune savonnerie
gbbas,pltrier
jlayji,carreleur
